Pressure,Permeability,Thickness,Inclination,WGR,GasFlow
0.9,50,5,0,0,11.4
0.9,50,5,0,5,10.8
0.9,50,5,0,10,10.5
0.9,50,5,0,40,10.1
0.9,50,5,0,70,9.8
0.9,50,5,0,100,9.6
0.9,50,5,30,0,11.2
0.9,50,5,30,5,10.5
0.9,50,5,30,10,10.3
0.9,50,5,30,40,9.8
0.9,50,5,30,70,9.5
0.9,50,5,30,100,9.2
0.9,50,5,60,0,10.4
0.9,50,5,60,5,9.4
0.9,50,5,60,10,9.1
0.9,50,5,60,40,8.6
0.9,50,5,60,70,8.3
0.9,50,5,60,100,8.0
0.9,50,10,0,0,18.0
0.9,50,10,0,5,16.9
0.9,50,10,0,10,16.3
0.9,50,10,0,40,15.2
0.9,50,10,0,70,14.4
0.9,50,10,0,100,13.8
0.9,50,10,30,0,17.4
0.9,50,10,30,5,16.3
0.9,50,10,30,10,15.7
0.9,50,10,30,40,14.5
0.9,50,10,30,70,13.7
0.9,50,10,30,100,13.1
0.9,50,10,60,0,15.0
0.9,50,10,60,5,13.6
0.9,50,10,60,10,13.0
0.9,50,10,60,40,11.8
0.9,50,10,60,70,11.1
0.9,50,10,60,100,10.5
0.9,50,20,0,0,23.7
0.9,50,20,0,5,21.9
0.9,50,20,0,10,20.9
0.9,50,20,0,40,18.9
0.9,50,20,0,70,17.7
0.9,50,20,0,100,16.7
0.9,50,20,30,0,22.5
0.9,50,20,30,5,20.7
0.9,50,20,30,10,19.8
0.9,50,20,30,40,17.8
0.9,50,20,30,70,16.6
0.9,50,20,30,100,15.7
0.9,50,20,60,0,18.4
0.9,50,20,60,5,16.5
0.9,50,20,60,10,15.6
0.9,50,20,60,40,13.9
0.9,50,20,60,70,12.9
0.9,50,20,60,100,12.1
0.9,50,50,0,0,28.0
0.9,50,50,0,5,25.7
0.9,50,50,0,10,24.3
0.9,50,50,0,40,21.4
0.9,50,50,0,70,19.8
0.9,50,50,0,100,18.5
0.9,50,50,30,0,26.3
0.9,50,50,30,5,24.0
0.9,50,50,30,10,22.7
0.9,50,50,30,40,20.0
0.9,50,50,30,70,18.5
0.9,50,50,30,100,17.3
0.9,50,50,60,0,20.7
0.9,50,50,60,5,18.4
0.9,50,50,60,10,17.4
0.9,50,50,60,40,15.2
0.9,50,50,60,70,13.9
0.9,50,50,60,100,12.9
0.9,100,1,0,0,4.6
0.9,100,1,0,5,4.0
0.9,100,1,0,10,4.0
0.9,100,1,0,40,3.9
0.9,100,1,0,70,3.9
0.9,100,1,0,100,3.9
0.9,100,1,30,0,4.6
0.9,100,1,30,5,3.9
0.9,100,1,30,10,3.9
0.9,100,1,30,40,3.9
0.9,100,1,30,70,3.8
0.9,100,1,30,100,3.8
0.9,100,1,60,0,4.5
0.9,100,1,60,5,3.8
0.9,100,1,60,10,3.8
0.9,100,1,60,40,3.7
0.9,100,1,60,70,3.6
0.9,100,1,60,100,3.6
0.9,100,5,0,0,17.2
0.9,100,5,0,5,16.2
0.9,100,5,0,10,15.7
0.9,100,5,0,40,14.7
0.9,100,5,0,70,14.0
0.9,100,5,0,100,13.4
0.9,100,5,30,0,16.7
0.9,100,5,30,5,15.7
0.9,100,5,30,10,15.1
0.9,100,5,30,40,14.1
0.9,100,5,30,70,13.4
0.9,100,5,30,100,12.8
0.9,100,5,60,0,14.6
0.9,100,5,60,5,13.3
0.9,100,5,60,10,12.7
0.9,100,5,60,40,11.6
0.9,100,5,60,70,10.9
0.9,100,5,60,100,10.4
0.9,100,10,0,0,23.3
0.9,100,10,0,5,21.6
0.9,100,10,0,10,20.6
0.9,100,10,0,40,18.7
0.9,100,10,0,70,17.5
0.9,100,10,0,100,16.5
0.9,100,10,30,0,22.2
0.9,100,10,30,5,20.5
0.9,100,10,30,10,19.5
0.9,100,10,30,40,17.6
0.9,100,10,30,70,16.5
0.9,100,10,30,100,15.5
0.9,100,10,60,0,18.2
0.9,100,10,60,5,16.4
0.9,100,10,60,10,15.5
0.9,100,10,60,40,13.8
0.9,100,10,60,70,12.8
0.9,100,10,60,100,12.1
0.9,100,20,0,0,27.1
0.9,100,20,0,5,24.9
0.9,100,20,0,10,23.6
0.9,100,20,0,40,21.0
0.9,100,20,0,70,19.4
0.9,100,20,0,100,18.2
0.9,100,20,30,0,25.5
0.9,100,20,30,5,23.4
0.9,100,20,30,10,22.1
0.9,100,20,30,40,19.6
0.9,100,20,30,70,18.2
0.9,100,20,30,100,17.0
0.9,100,20,60,0,20.2
0.9,100,20,60,5,18.1
0.9,100,20,60,10,17.1
0.9,100,20,60,40,15.0
0.9,100,20,60,70,13.8
0.9,100,20,60,100,12.9
0.9,100,50,0,0,29.5
0.9,100,50,0,5,27.0
0.9,100,50,0,10,25.5
0.9,100,50,0,40,22.4
0.9,100,50,0,70,20.6
0.9,100,50,0,100,19.2
0.9,100,50,30,0,27.6
0.9,100,50,30,5,25.2
0.9,100,50,30,10,23.8
0.9,100,50,30,40,20.8
0.9,100,50,30,70,19.2
0.9,100,50,30,100,17.9
0.9,100,50,60,0,21.5
0.9,100,50,60,5,19.1
0.9,100,50,60,10,18.0
0.9,100,50,60,40,15.8
0.9,100,50,60,70,14.3
0.9,100,50,60,100,13.3
0.9,500,1,0,0,14.0
0.9,500,1,0,5,13.4
0.9,500,1,0,10,13.1
0.9,500,1,0,40,12.5
0.9,500,1,0,70,12.1
0.9,500,1,0,100,11.7
0.9,500,1,30,0,13.8
0.9,500,1,30,5,13.1
0.9,500,1,30,10,12.8
0.9,500,1,30,40,12.1
0.9,500,1,30,70,11.7
0.9,500,1,30,100,11.3
0.9,500,1,60,0,12.6
0.9,500,1,60,5,11.6
0.9,500,1,60,10,11.2
0.9,500,1,60,40,10.4
0.9,500,1,60,70,9.9
0.9,500,1,60,100,9.5
0.9,500,5,0,0,27.3
0.9,500,5,0,5,25.1
0.9,500,5,0,10,23.8
0.9,500,5,0,40,21.2
0.9,500,5,0,70,19.7
0.9,500,5,0,100,18.4
0.9,500,5,30,0,25.8
0.9,500,5,30,5,23.6
0.9,500,5,30,10,22.3
0.9,500,5,30,40,19.9
0.9,500,5,30,70,18.4
0.9,500,5,30,100,17.2
0.9,500,5,60,0,20.4
0.9,500,5,60,5,18.2
0.9,500,5,60,10,17.2
0.9,500,5,60,40,15.2
0.9,500,5,60,70,14.0
0.9,500,5,60,100,13.0
0.9,500,10,0,0,29.4
0.9,500,10,0,5,26.8
0.9,500,10,0,10,25.4
0.9,500,10,0,40,22.3
0.9,500,10,0,70,20.6
0.9,500,10,0,100,19.2
0.9,500,10,30,0,27.5
0.9,500,10,30,5,25.1
0.9,500,10,30,10,23.7
0.9,500,10,30,40,20.8
0.9,500,10,30,70,19.1
0.9,500,10,30,100,17.9
0.9,500,10,60,0,21.4
0.9,500,10,60,5,19.0
0.9,500,10,60,10,17.9
0.9,500,10,60,40,15.7
0.9,500,10,60,70,14.3
0.9,500,10,60,100,13.3
0.9,500,20,0,0,30.3
0.9,500,20,0,5,27.6
0.9,500,20,0,10,26.1
0.9,500,20,0,40,22.9
0.9,500,20,0,70,21.0
0.9,500,20,0,100,19.5
0.9,500,20,30,0,28.3
0.9,500,20,30,5,25.7
0.9,500,20,30,10,24.3
0.9,500,20,30,40,21.3
0.9,500,20,30,70,19.5
0.9,500,20,30,100,18.2
0.9,500,20,60,0,21.9
